,open,high,low,close,adjclose,volume,ticker,pct_change,total_return,SMA 200,SMA 50,SMA 20,EMA 20,RSI
2019-09-20,23.233333587646484,23.3799991607666,23.02666664123535,23.03333282470703,22.25908660888672,4973550,ROL,,,,,,,
2019-09-23,23.020000457763672,23.166667938232422,22.67333221435547,22.719999313354492,21.95628547668457,1962600,ROL,-0.013603481256365901,0.9863965187436341,,,,,
2019-09-24,22.786666870117188,22.85333251953125,22.546667098999023,22.726667404174805,21.962732315063477,1834800,ROL,0.0002934899217357234,0.9866860161807206,,,,,
2019-09-25,22.84000015258789,22.979999542236328,22.6200008392334,22.65999984741211,21.898303985595703,1735950,ROL,-0.0029334506277171046,0.9837916214671956,,,,,
2019-09-26,22.666667938232422,22.760000228881836,22.479999542236328,22.546667098999023,21.78877830505371,1774200,ROL,-0.005001445241670122,0.9788712415432135,,,,,
2019-09-27,22.559999465942383,22.559999465942383,21.946666717529297,22.293333053588867,21.543960571289062,1912800,ROL,-0.011235986423084432,0.9678726575632861,,,,,
2019-09-30,22.31999969482422,22.780000686645508,22.280000686645508,22.713333129882812,21.94984245300293,3663750,ROL,0.018839716577343735,0.9861071041147389,,,,,
2019-10-01,22.793333053588867,22.940000534057617,22.32666778564453,22.333332061767578,21.582612991333008,1709550,ROL,-0.016730308402657323,0.969609228144848,,,,,
2019-10-02,22.166667938232422,22.393333435058594,22.046667098999023,22.273332595825195,21.524633407592773,2069850,ROL,-0.0026865434041118963,0.9670043308684094,,,,,
2019-10-03,22.253332138061523,22.706666946411133,22.02666664123535,22.67333221435547,21.91118812561035,1382250,ROL,0.01795867846939303,0.9843704507249857,,,,,
2019-10-04,22.760000228881836,23.113332748413086,22.706666946411133,22.97333335876465,22.20110321044922,1340700,ROL,0.013231453655463854,0.9973951027235615,,,,,
2019-10-07,22.953332901000977,22.98666763305664,22.766666412353516,22.81333351135254,22.046483993530273,965250,ROL,-0.0069645899841116465,0.9904486547809309,,,,,
2019-10-08,22.65333366394043,22.953332901000977,22.579999923706055,22.700000762939453,21.936960220336914,1740000,ROL,-0.004967829377354627,0.9855282748569488,,,,,
2019-10-09,22.886667251586914,23.086666107177734,22.780000686645508,22.99333381652832,22.220436096191406,1729500,ROL,0.012922160516741998,0.9982634294184382,,,,,
2019-10-10,22.98666763305664,23.226667404174805,22.893333435058594,23.213333129882812,22.433034896850586,930300,ROL,0.009567960658073416,1.0078147746375072,,,,,52.90322858510521
2019-10-11,23.459999084472656,23.67333221435547,23.333332061767578,23.446666717529297,22.658523559570312,1886250,ROL,0.01005170547206391,1.017945031922558,,,,,56.43458673332196
2019-10-14,23.360000610351562,23.440000534057617,23.246667861938477,23.373332977294922,22.58765983581543,1015050,ROL,-0.0031276829716502252,1.014761222580138,,,,,55.03782241344637
2019-10-15,23.47333335876465,23.606666564941406,23.399999618530273,23.52666664123535,22.735837936401367,872400,ROL,0.006560196788766959,1.0214182558938734,,,,,57.411327918075216
2019-10-16,23.51333236694336,23.639999389648438,23.399999618530273,23.593332290649414,22.800262451171875,1234650,ROL,0.0028336206922410234,1.0243125677992069,,,,,58.43859278338529
2019-10-17,23.68000030517578,23.860000610351562,23.606666564941406,23.753332138061523,22.954883575439453,2633400,ROL,0.006781570548875848,1.0312590157418373,,,22.917999744415283,22.917999744415283,60.87761521011351
2019-10-18,23.773332595825195,24.166667938232422,23.700000762939453,23.97333335876465,23.1674861907959,1252500,ROL,0.009261909841718596,1.0408104437690977,,,22.964999771118165,23.018507707686652,64.00550763530653
2019-10-21,24.100000381469727,24.420000076293945,23.953332901000977,24.413333892822266,23.592697143554688,1752000,ROL,0.018353748620308252,1.0599132170154273,,,23.049666500091554,23.151348296747187,69.29327961145869
2019-10-22,24.093332290649414,24.293333053588867,23.860000610351562,23.98666763305664,23.18037986755371,3043200,ROL,-0.017476771572401573,1.0413893558350793,,,23.112666511535643,23.23090251925285,60.07683364263534
2019-10-23,24.833332061767578,26.713333129882812,24.833332061767578,25.68666648864746,24.823226928710938,5722350,ROL,0.07087265649389374,1.115195385927576,,,23.26399984359741,23.46478480205234,74.58276633047086
2019-10-24,25.68666648864746,25.786666870117188,25.280000686645508,25.733333587646484,24.868328094482422,1708950,ROL,0.0018167829998356755,1.1172214539462244,,,23.423333168029785,23.68083706734702,74.85288567940529
2019-10-25,25.68666648864746,25.84000015258789,25.426666259765625,25.586666107177734,24.726591110229492,1313700,ROL,-0.005699513433392034,1.1108538352613841,,,23.58799982070923,23.862344594949946,72.25394314857576
2019-10-28,25.68000030517578,25.98666763305664,25.30666732788086,25.333332061767578,24.48177146911621,2809050,ROL,-0.00990101814550548,1.0998552512814568,,,23.718999767303465,24.00243863940877,67.87051697932596
2019-10-29,25.293333053588867,25.5,25.206666946411133,25.446666717529297,24.59130096435547,1968000,ROL,0.004473736636198877,1.1047757140136303,,,23.874666500091553,24.139984170658344,68.78294359870203
2019-10-30,25.446666717529297,25.64666748046875,25.373332977294922,25.413333892822266,24.559085845947266,1212750,ROL,-0.0013099092732672402,1.1033285580609633,,,24.031666564941407,24.261255572769194,68.16977466967722
2019-10-31,25.373332977294922,25.606666564941406,25.239999771118164,25.406667709350586,24.552640914916992,1260450,ROL,-0.0002623104666154008,1.1030391434320683,,,24.168333339691163,24.370342442919803,68.0391431301692
2019-11-01,25.53333282470703,25.799999237060547,25.386667251586914,25.780000686645508,24.91342544555664,1460850,ROL,0.014694291339809151,1.1192475219648728,,,24.308666706085205,24.504595608988918,71.35030193793084
2019-11-04,25.913333892822266,25.99333381652832,25.50666618347168,25.753332138061523,24.88765525817871,1131150,ROL,-0.001034466558327063,1.1180896978329096,,,24.455666637420656,24.623522897472025,70.78614804899539
2019-11-05,25.773332595825195,25.873332977294922,25.65999984741211,25.786666870117188,24.919870376586914,1079550,ROL,0.0012943852033189263,1.1195369365937677,,,24.60999994277954,24.73429851391442,71.09381077525619
2019-11-06,26.01333236694336,26.059999465942383,25.586666107177734,25.613332748413086,24.752363204956055,1319250,ROL,-0.006721850581820177,1.1120115765851557,,,24.74099988937378,24.81801606005715,67.13463768959083
2019-11-07,25.566667556762695,26.053333282470703,25.566667556762695,25.920000076293945,25.150184631347656,1680150,ROL,0.011972956853881556,1.1253256432126266,,,24.876333236694336,24.92296691874637,70.28733600378747
2019-11-08,25.866666793823242,25.979999542236328,25.706666946411133,25.786666870117188,25.02081298828125,1066200,ROL,-0.005144028000937495,1.119536936593768,,,24.99333324432373,25.00522405697216,67.26602620558486
2019-11-11,25.600000381469727,25.719999313354492,25.51333236694336,25.559999465942383,24.80087661743164,684750,ROL,-0.008790100919847,1.1096960939376124,,,25.102666568756103,25.05805981020742,62.35863994705551
2019-11-12,25.559999465942383,25.593332290649414,24.98666763305664,25.0,24.257509231567383,1673250,ROL,-0.021909212740342965,1.0853835261384057,,,25.176333236694337,25.052530304473382,52.222055213257335
2019-11-13,24.873332977294922,25.213333129882812,24.873332977294922,24.959999084472656,24.218698501586914,3817800,ROL,-0.0016000366210937589,1.0836468727486523,,,25.244666576385498,25.043717807330456,51.57711556976473
2019-11-14,24.959999084472656,25.00666618347168,24.5,24.98666763305664,24.24457359313965,5553000,ROL,0.001068451504895096,1.0848046968806155,,,25.306333351135255,25.038284457399616,52.00271002638418
2019-11-15,25.093332290649414,25.219999313354492,24.440000534057617,24.453332901000977,23.727081298828125,4583400,ROL,-0.021344772335710638,1.0616497875969892,,,25.33033332824707,24.98257478536165,43.72579989147623
2019-11-18,24.559999465942383,24.64666748046875,24.213333129882812,24.46666717529297,23.74001693725586,6826350,ROL,0.0005452947598585389,1.0622286996629708,,,25.332999992370606,24.93344072725987,43.96593110960771
2019-11-19,24.586666107177734,24.719999313354492,24.34000015258789,24.413333892822266,23.688264846801758,2006400,ROL,-0.0021798343880918836,1.0599132170154273,,,25.354333305358885,24.88390674302772,43.172408718479666
2019-11-20,24.420000076293945,24.579999923706055,24.299999237060547,24.386667251586914,23.66239356994629,1572600,ROL,-0.0010922982232750567,1.0587554756916555,,,25.28933334350586,24.83655060098574,42.75687757335772
2019-11-21,24.453332901000977,24.459999084472656,23.793333053588867,23.84666633605957,23.138429641723633,1544250,ROL,-0.022143284687340947,1.035311151779134,,,25.194999980926514,24.742275909088008,35.33924341797774
2019-11-22,23.84000015258789,23.899999618530273,23.633333206176758,23.65333366394043,22.95083999633789,1640850,ROL,-0.008107324914711223,1.0269175478838366,,,25.09833335876465,24.63856712383586,33.12363570753546
2019-11-25,23.773332595825195,23.793333053588867,23.53333282470703,23.540000915527344,22.840871810913086,2113650,ROL,-0.004791406996716985,1.0219971679598545,,,25.008666801452637,24.53394177066362,31.86253213030324
2019-11-26,23.53333282470703,23.96666717529297,23.53333282470703,23.85333251953125,23.1448974609375,1988850,ROL,0.013310602880955091,1.035600566408029,,,24.929000091552734,24.469121841984347,38.79995207584407
2019-11-27,23.953332901000977,24.0,23.799999237060547,23.920000076293945,23.209585189819336,1227300,ROL,0.002794894872995446,1.038494961121554,,,24.85433340072632,24.416824530966213,40.1951738564738
2019-11-29,23.926666259765625,24.126667022705078,23.793333053588867,23.899999618530273,23.190181732177734,978150,ROL,-0.0008361395359481882,1.0376266344266771,,24.098399925231934,24.778999996185302,24.36760311073422,39.90128142085657
2019-12-02,23.860000610351562,24.0,23.579999923706055,23.626667022705078,22.924959182739258,1884300,ROL,-0.011436510468112004,1.0257598065600646,,24.110266609191896,24.67133331298828,24.29703776901716,36.02468281073414
2019-12-03,23.426666259765625,23.69333267211914,23.34666633605957,23.566667556762695,22.866744995117188,2013600,ROL,-0.0025394807437174594,1.023154909283626,,24.12719997406006,24.56200008392334,24.2274787011834,35.21587903825493
2019-12-04,23.606666564941406,23.906667709350586,23.31999969482422,23.413333892822266,22.717966079711914,2270250,ROL,-0.006506378705054883,1.0164978759698908,,24.14093330383301,24.443333435058594,24.149941100387103,33.166521472441396
2019-12-05,23.3799991607666,23.426666259765625,22.899999618530273,22.953332901000977,22.271629333496094,2068050,ROL,-0.01964696672105759,0.9965267760286847,,24.146799964904787,24.310333442687988,24.035978414731282,27.917669697025165
2019-12-06,23.126667022705078,23.260000228881836,22.81333351135254,22.833332061767578,22.155189514160156,1891350,ROL,-0.00522803549928752,0.9913168986676162,,24.152533264160155,24.15600004196167,23.921440666829977,26.729272231983636
2019-12-09,22.80666732788086,23.34000015258789,22.766666412353516,23.073333740234375,22.388063430786133,2787150,ROL,0.010511022999952768,1.0017366533897534,,24.168133277893066,24.02033338546753,23.840668578582775,32.882889512922745
2019-12-10,23.073333740234375,23.073333740234375,22.413333892822266,22.453332901000977,21.78647804260254,1902450,ROL,-0.026870882474701263,0.9748191055059168,,24.16293327331543,23.86500005722046,23.708541371194034,26.654994812478282
2019-12-11,22.420000076293945,22.48666763305664,22.260000228881836,22.31333351135254,21.650636672973633,1390050,ROL,-0.006235127331238877,0.968740984258163,,24.16253330230713,23.730666732788087,23.57566443216151,25.481413070837206
2019-12-12,22.226667404174805,22.34000015258789,22.040000915527344,22.15999984741211,21.501855850219727,2250750,ROL,-0.006871840277133723,0.9620839509444276,,24.16026664733887,23.59066677093506,23.440839233613946,24.223453024917447
2019-12-13,22.1200008392334,22.14666748046875,21.860000610351562,21.96666717529297,21.31426429748535,2624550,ROL,-0.008724398621406948,0.9536903470491302,,24.14613334655762,23.439666748046875,23.300441894726234,22.701667260957475
2019-12-16,22.106666564941406,22.426666259765625,21.97333335876465,21.979999542236328,21.32720375061035,2028450,ROL,0.0006069362656140331,0.9542691763069204,,24.12626667022705,23.316000080108644,23.174685480203387,23.06063280468747
2019-12-17,22.053333282470703,22.133333206176758,21.81999969482422,21.99333381652832,21.340139389038086,2597700,ROL,0.000606654893980707,0.9548480883729019,,24.109866676330565,23.19233341217041,23.06217579794862,23.44355558331696
2019-12-18,22.03333282470703,22.113332748413086,21.866666793823242,21.96666717529297,21.31426429748535,2298150,ROL,-0.0012124874499613858,0.9536903470491301,,24.095200004577638,23.070000076293944,22.957841643409985,23.194933704458887
2019-12-19,21.959999084472656,22.059999465942383,21.753332138061523,21.833332061767578,21.184890747070312,2130150,ROL,-0.006069883631475981,0.94790155762208,,24.071999969482423,22.94233331680298,22.850745492777374,21.94193208854657
2019-12-20,21.940000534057617,22.266666412353516,21.84000015258789,22.18000030517578,21.521263122558594,2958150,ROL,0.015877935737314886,0.962952277639304,,24.05133331298828,22.85900001525879,22.78686499872008,32.19747325859089
2019-12-23,22.260000228881836,22.366666793823242,22.073333740234375,22.253332138061523,21.59241485595703,1387650,ROL,0.003306214241513228,0.9661360041735327,,24.027466621398926,22.788999938964842,22.736052345324026,34.16781790895812
2019-12-24,22.213333129882812,22.226667404174805,21.97333335876465,21.98666763305664,21.333667755126953,402300,ROL,-0.011983126991970239,0.9545586737440066,,23.99973331451416,22.71133327484131,22.664682372727132,30.676715893877372
2019-12-26,22.040000915527344,22.200000762939453,21.84000015258789,21.893333435058594,21.24311065673828,1402350,ROL,-0.00424503610805127,0.9505065377067098,,23.967066650390624,22.613333320617677,22.59122056913965,29.539081901188325
2019-12-27,21.940000534057617,22.053333282470703,21.766666412353516,21.773332595825195,21.126670837402344,2565000,ROL,-0.005481158892013949,0.9452966603456413,,23.93066665649414,22.505999946594237,22.513326476443037,28.09639381807046
2019-12-30,21.833332061767578,22.059999465942383,21.68000030517578,21.920000076293945,21.26898193359375,1485600,ROL,0.006736106189682234,0.9516642790304816,,23.89400001525879,22.40699996948242,22.45681920023836,32.43951964575174
2019-12-31,21.926666259765625,22.126667022705078,21.8799991607666,22.106666564941406,21.450105667114258,1335300,ROL,0.008515806934204173,0.9597684682968838,,23.856666679382325,22.33099994659424,22.42347133021008,37.605088147207155
2020-01-02,22.15999984741211,22.393333435058594,22.059999465942383,22.226667404174805,21.566543579101562,2978700,ROL,0.005428264767140645,0.9649783456579523,,23.812933349609374,22.263999938964844,22.4047280991591,40.74181258998079
2020-01-03,21.99333381652832,22.17333221435547,21.84000015258789,22.15333366394043,21.49538230895996,1647300,ROL,-0.003299358329382329,0.9617945363155321,,23.776266670227052,22.20099992752075,22.380785771995416,39.43703733965381
2020-01-06,22.059999465942383,22.19333267211914,21.866666793823242,22.15333366394043,21.49538230895996,1316550,ROL,0.0,0.9617945363155321,,23.70560001373291,22.160999965667724,22.35912366646637,39.43703733965381
2020-01-07,22.106666564941406,22.266666412353516,21.933332443237305,22.166667938232422,21.508325576782227,2470050,ROL,0.0006019082497590311,0.9623734483815136,,23.63426670074463,22.127666759490968,22.340794549491708,39.84330685279237
2020-01-08,22.14666748046875,22.226667404174805,21.99333381652832,22.14666748046875,21.488922119140625,1995150,ROL,-0.000902276238332389,0.9615051216866369,,23.56546672821045,22.081333446502686,22.322306257203806,39.41619944595816
2020-01-09,22.18666648864746,22.586666107177734,22.14666748046875,22.5,21.83176040649414,1707000,ROL,0.015954207098781703,0.9768451735245648,,23.508800086975096,22.083666801452637,22.339229470803442,49.6788716093066
2020-01-10,22.540000915527344,23.440000534057617,22.46666717529297,23.15333366394043,22.46569061279297,5502750,ROL,0.029037051730685715,1.0052098773610683,,23.46293342590332,22.12566680908203,22.416763203483153,62.37161784329257
2020-01-13,23.15999984741211,23.393333435058594,23.15999984741211,23.31999969482422,22.627405166625977,1654500,ROL,0.007198359998731307,1.0124457399325937,,23.42106674194336,22.183666801452638,22.502785726468016,64.81010218828804
2020-01-14,23.266666412353516,23.49333381652832,23.219999313354492,23.366666793823242,22.672687530517578,2960400,ROL,0.0020011620758888515,1.014471807951242,,23.38026672363281,22.25366678237915,22.58506011383518,65.48457743433408
2020-01-15,23.386667251586914,23.52666664123535,23.31999969482422,23.49333381652832,22.795589447021484,1691550,ROL,0.005420842596966402,1.0199710999412057,,23.33453338623047,22.32933349609375,22.671562371234526,67.31572884555105
2020-01-16,23.52666664123535,23.81999969482422,23.50666618347168,23.760000228881836,23.054332733154297,2113350,ROL,0.011350726739595585,1.031548513178923,,23.294666748046875,22.417666816711424,22.775223119581888,70.8249598842874
2020-01-17,23.85333251953125,23.97333335876465,23.773332595825195,23.906667709350586,23.196645736694336,2268600,ROL,0.006172873697638526,1.0379161318637633,,23.257066764831542,22.514666843414307,22.882979747178908,72.56940980338898
2020-01-21,23.893333435058594,24.053333282470703,23.733333587646484,23.926666259765625,23.216053009033203,2556750,ROL,0.0008365260544955788,1.0387843757504487,,23.223333435058592,22.61933355331421,22.982378462663355,72.80815524330175
2020-01-22,24.02666664123535,24.200000762939453,23.97333335876465,24.053333282470703,23.33895492553711,1683600,ROL,0.005293968717993813,1.0442836677404124,,23.186000099182127,22.713000202178954,23.084374159787863,74.33200320489468
2020-01-23,24.01333236694336,24.440000534057617,23.933332443237305,24.406667709350586,23.681798934936523,1600800,ROL,0.01468962420844111,1.0596238023865316,,23.158400115966796,22.820666980743407,23.210306878793837,78.03053621219809
2020-01-24,24.453332901000977,24.606666564941406,24.273332595825195,24.406667709350586,23.681798934936523,2704800,ROL,0.0,1.0596238023865316,,23.135333480834962,22.941666984558104,23.324246005513526,78.03053621219809
2020-01-27,24.066667556762695,24.293333053588867,23.920000076293945,24.15999984741211,23.442453384399414,2022300,ROL,-0.010106576812367263,1.0489146330354995,,23.118533477783203,23.05500030517578,23.403841609503868,69.87831546467487
2020-01-28,24.286666870117188,24.49333381652832,24.219999313354492,24.48666763305664,23.759422302246094,2283750,ROL,0.013521017703132188,1.063097026357847,,23.109066848754882,23.190667057037352,23.506967897461276,73.7844620445664
2020-01-29,24.639999389648438,25.393333435058594,24.573333740234375,25.200000762939453,24.451570510864258,5422350,ROL,0.02913149067780152,1.094066627470789,,23.11333351135254,23.354667091369627,23.668209122744912,79.91081882833319
2020-01-30,25.17333221435547,25.49333381652832,25.00666618347168,25.479999542236328,24.723255157470703,2757450,ROL,0.011111062334119293,1.1062228699662966,,23.133866844177245,23.523333740234374,23.840760591267905,81.7169170597651
2020-01-31,25.47333335876465,25.65999984741211,25.213333129882812,25.299999237060547,24.548599243164062,2701200,ROL,-0.007064376311208598,1.0984080953287896,,23.1505334854126,23.677000331878663,23.979735700391014,76.92874688721324
2020-02-03,25.333332061767578,25.959999084472656,25.31999969482422,25.65333366394043,24.891437530517578,3242550,ROL,0.013965788044858929,1.1137482299749086,,23.17533348083496,23.852000331878664,24.139125982633814,79.47154179339292
2020-02-04,25.926666259765625,26.18000030517578,25.80666732788086,25.98666763305664,25.214874267578125,1597950,ROL,0.012993787609941743,1.128220037926151,,23.207333488464357,24.043667030334472,24.31508233029313,81.53873002835019
2020-02-05,26.213333129882812,26.32666778564453,25.893333435058594,25.98666763305664,25.214874267578125,1534050,ROL,0.0,1.128220037926151,,23.250133514404297,24.234667015075683,24.474280930556322,81.53873002835019
2020-02-06,26.01333236694336,26.226667404174805,25.84666633605957,26.219999313354492,25.441274642944336,1768800,ROL,0.008978899626246761,1.1383502124030103,,23.301466827392577,24.438333606719972,24.640539824156146,82.93388324845887
2020-02-07,26.126667022705078,26.15999984741211,25.68000030517578,25.726667404174805,25.038990020751953,1656000,ROL,-0.018815100003775398,1.1169320393173288,,23.34520015716553,24.59966697692871,24.743980546062684,70.75834472794325
2020-02-10,25.706666946411133,26.02666664123535,25.566667556762695,25.979999542236328,25.285552978515625,1005000,ROL,0.00984706390771839,1.1279305404890647,,23.387733497619628,24.741000270843507,24.861696640936366,72.95414417553542
2020-02-11,26.053333282470703,26.373332977294922,25.933332443237305,26.333332061767578,25.629436492919922,1930050,ROL,0.013600174201575,1.1432705923269926,,23.436000137329103,24.891666889190674,25.001852395301242,75.69544330320386
2020-02-12,26.34000015258789,26.726667404174805,26.246667861938477,26.440000534057617,25.733257293701172,1711050,ROL,0.004050701674966017,1.1479016404302709,,23.48680015563965,25.045333576202392,25.138818884706613,76.4707973496817
2020-02-13,26.333332061767578,26.64666748046875,26.266666412353516,26.540000915527344,25.830583572387695,871350,ROL,0.0037821626115670526,1.1522431910964628,,23.545066833496094,25.197666931152344,25.272264792403824,77.20497750853559
2020-02-14,26.586666107177734,26.766666412353516,26.48666763305664,26.546667098999023,25.83707046508789,815100,ROL,0.0002511749525893059,1.1525326057253578,,23.60466682434082,25.3370002746582,25.393636440650987,77.25592513999928
2020-02-18,26.51333236694336,26.53333282470703,26.233333587646484,26.266666412353516,25.564558029174805,1758000,ROL,-0.010547489279965627,1.1403762804216586,,23.661733474731445,25.45500020980835,25.476782152241704,70.16250658201831
2020-02-19,26.34666633605957,26.600000381469727,26.34666633605957,26.479999542236328,25.772186279296875,1067850,ROL,0.008121819744224545,1.1496382110118326,,23.73226680755615,25.582666873931885,25.572326665574526,72.25288769720825
2020-02-20,26.453332901000977,26.713333129882812,26.35333251953125,26.64666748046875,25.934398651123047,1171800,ROL,0.006294106537523936,1.1568741563915494,,23.808533515930176,25.712333583831786,25.674644838421596,73.79738184260759
2020-02-21,26.546667098999023,26.979999542236328,26.446666717529297,26.953332901000977,26.232866287231445,984150,ROL,0.011508584357012186,1.170188140210829,,23.886133499145508,25.839666843414307,25.796424653905348,76.4003640864758
