,open,high,low,close,adjclose,volume,ticker,pct_change,total_return,SMA 200,SMA 50,SMA 20,EMA 20,RSI
2021-03-03,35.34000015258789,35.63999938964844,34.279998779296875,34.279998779296875,31.246044158935547,3701000,IRM,,,,,,,
2021-03-04,34.54999923706055,35.29999923706055,34.189998626708984,34.91999816894531,31.82939910888672,3903200,IRM,0.018669761156320686,1.0186697611563207,,,,,
2021-03-05,34.97999954223633,35.97999954223633,34.84000015258789,35.790000915527344,32.622406005859375,2784600,IRM,0.02491416930702295,1.044049072053714,,,,,
2021-03-08,36.0,37.16999816894531,35.900001525878906,36.56999969482422,33.333370208740234,3234500,IRM,0.021793762485165846,1.0668028295529104,,,,,
2021-03-09,36.54999923706055,37.33000183105469,36.529998779296875,36.68000030517578,33.43363571166992,3170900,IRM,0.003007946712319187,1.0700117156167568,,,,,
2021-03-10,36.77000045776367,37.290000915527344,36.59000015258789,36.900001525878906,33.6341667175293,2140000,IRM,0.005997852204818077,1.07642948774445,,,,,
2021-03-11,36.79999923706055,37.41999816894531,36.72999954223633,37.0099983215332,33.73442459106445,2346700,IRM,0.002980942848394008,1.0796382625277423,,,,,
2021-03-12,36.40999984741211,36.900001525878906,36.130001068115234,36.869998931884766,34.178462982177734,2179400,IRM,-0.003782745095856521,1.0755542661848665,,,,,
2021-03-15,36.849998474121094,37.0099983215332,36.310001373291016,36.810001373291016,34.122840881347656,2108100,IRM,-0.0016272731307801491,1.0738040456268079,,,,,
2021-03-16,36.7599983215332,36.7599983215332,35.619998931884766,35.779998779296875,33.168025970458984,2594100,IRM,-0.02798159618492979,1.0437572944403346,,,,,
2021-03-17,35.77000045776367,36.5,35.720001220703125,36.189998626708984,33.548099517822266,2637800,IRM,0.01145891172163327,1.055717617136137,,,,,
2021-03-18,36.13999938964844,36.27000045776367,35.599998474121094,35.810001373291016,33.19584274291992,1541300,IRM,-0.010500062664758558,1.0446325159999181,,,,,
2021-03-19,35.81999969482422,36.16999816894531,35.68000030517578,35.79999923706055,33.18656921386719,2694300,IRM,-0.00027931124956415143,1.0443407383865388,,,,,
2021-03-22,35.79999923706055,36.599998474121094,35.529998779296875,36.58000183105469,33.90963363647461,1564800,IRM,0.02178778241946655,1.06709460716629,,,,,
2021-03-23,36.5099983215332,36.63999938964844,36.029998779296875,36.2599983215332,33.61298751831055,1961400,IRM,-0.008748045202387478,1.0577596153075752,,,,,66.89418128911933
2021-03-24,36.25,36.939998626708984,36.11000061035156,36.459999084472656,33.79838943481445,3101000,IRM,0.005515741097557703,1.063593943489064,,,,,68.06785267360154
2021-03-25,36.13999938964844,36.95000076293945,35.70000076293945,36.86000061035156,34.169189453125,2130500,IRM,0.01097096916958673,1.0752625998520418,,,,,70.33316495466228
2021-03-26,37.099998474121094,37.29999923706055,36.75,37.279998779296875,34.55852508544922,1893300,IRM,0.011394415680703096,1.0875145888806694,,,,,72.53624512603237
2021-03-29,37.290000915527344,37.47999954223633,36.68000030517578,36.689998626708984,34.0115966796875,1484500,IRM,-0.015826184868748983,1.0703033819495824,,,,,65.21028434965763
2021-03-30,36.7400016784668,37.38999938964844,36.470001220703125,37.15999984741211,34.44728469848633,1869800,IRM,0.012810063731127475,1.0840140364839979,,,36.33499965667725,36.33499965667725,67.9842715437558
2021-03-31,37.15999984741211,37.45000076293945,36.90999984741211,37.0099983215332,34.30823516845703,1559400,IRM,-0.00403663957198197,1.0796382625277428,,,36.471499633789065,36.39928524380639,66.17083825599211
2021-04-01,37.220001220703125,37.36000061035156,36.58000183105469,37.29999923706055,34.57706832885742,2659400,IRM,0.0078357451683162,1.088098032826874,,,36.59049968719482,36.48506752887821,67.95075354395972
2021-04-05,37.529998779296875,37.900001525878906,36.93000030517578,37.560001373291016,34.818092346191406,1869300,IRM,0.00697056679754926,1.0956826928469756,,,36.678999710083005,36.58744218072705,69.50016858053924
2021-04-06,37.56999969482422,37.61000061035156,37.040000915527344,37.4900016784668,34.75320053100586,2241500,IRM,-0.0018636765778713427,1.0936406946755377,,,36.724999809265135,36.67340022813084,68.53945374741126
2021-04-07,37.5,37.7599983215332,37.22999954223633,37.689998626708984,34.938594818115234,1471500,IRM,0.005334674294161568,1.0994749115764724,,,36.775499725341795,36.77021912323352,69.82295771371477
2021-04-08,37.560001373291016,37.869998931884766,37.209999084472656,37.380001068115234,34.651222229003906,1499100,IRM,-0.008224928890659844,1.0904318086116913,,,36.799499702453616,36.82829359417463,65.37114739389152
2021-04-09,37.349998474121094,37.68000030517578,37.060001373291016,37.65999984741211,34.910789489746094,961700,IRM,0.007490603833495202,1.0985998012974432,,,36.83199977874756,36.90750371353058,67.39336084723382
2021-04-12,37.70000076293945,37.95000076293945,37.529998779296875,37.90999984741211,35.14254379272461,2038300,IRM,0.0066383430964664925,1.1058926837041656,,,36.883999824523926,37.00297953580501,69.12691523992034
2021-04-13,37.939998626708984,38.130001068115234,37.650001525878906,38.029998779296875,35.25377655029297,1196800,IRM,0.003165363554939571,1.1093932361008372,,,36.94499969482422,37.10079089232804,69.95268534359097
2021-04-14,37.7599983215332,38.209999084472656,37.75,37.9900016784668,35.21670150756836,1305100,IRM,-0.0010517250095692932,1.108226459488983,,,37.05549983978271,37.18547763386507,69.2874587855028
2021-04-15,38.099998474121094,38.15999984741211,37.72999954223633,38.150001525878906,35.36501693725586,1660500,IRM,0.004211630438089697,1.1128938997780633,,,37.15349998474121,37.2773370521521,70.49616137225082
2021-04-16,38.22999954223633,38.400001525878906,37.880001068115234,38.040000915527344,35.26304626464844,1222400,IRM,-0.0028833710603377583,1.109685013714217,,,37.26499996185303,37.34997170580689,68.50018385000631
2021-04-19,38.18000030517578,38.59000015258789,37.93000030517578,38.47999954223633,35.670921325683594,1489500,IRM,0.011566735439519471,1.1225204466890488,,,37.398999977111814,37.457593404514455,71.92439269888335
2021-04-20,38.47999954223633,39.939998626708984,38.47999954223633,39.4900016784668,36.60719680786133,5086500,IRM,0.026247457074989544,1.1519837539293176,,,37.54449996948242,37.65115609727182,77.8710044248203
2021-04-21,39.4900016784668,40.400001525878906,39.11000061035156,40.2400016784668,37.30244827270508,2849800,IRM,0.01899214910413538,1.173862401149485,,,37.7435001373291,37.89771281929039,81.07631292946982
2021-04-22,40.16999816894531,40.7400016784668,39.79999923706055,40.369998931884766,37.42295455932617,2640100,IRM,0.0032305479124155045,1.1776546198789815,,,37.93900012969971,38.13316863953747,81.57449169049407
2021-04-23,40.5,40.91999816894531,40.25,40.31999969482422,37.37660598754883,1797000,IRM,-0.0012385246069713807,1.1761960656537478,,,38.11200008392334,38.3414382638505,80.69458278103892
