,open,high,low,close,adjclose,volume,ticker,pct_change,total_return,SMA 200,SMA 50,SMA 20,EMA 20,RSI
2021-03-03,182.39999389648438,185.0399932861328,180.5800018310547,182.6300048828125,182.6300048828125,399000,IT,,,,,,,
2021-03-04,182.05999755859375,182.63999938964844,176.25,177.77000427246094,177.77000427246094,580600,IT,-0.026611183707025865,0.9733888162929741,,,,,
2021-03-05,180.3699951171875,184.19000244140625,175.17999267578125,183.47000122070312,183.47000122070312,441400,IT,0.03206388485824663,1.0045994432208971,,,,,
2021-03-08,185.67999267578125,189.72999572753906,185.16000366210938,186.60000610351562,186.60000610351562,546200,IT,0.017060036311044025,1.0217379462003002,,,,,
2021-03-09,187.50999450683594,188.99000549316406,183.13999938964844,183.61000061035156,183.61000061035156,700700,IT,-0.016023608764007102,1.0053660170910466,,,,,
2021-03-10,183.58999633789062,186.0,183.58999633789062,184.02999877929688,184.02999877929688,402700,IT,0.002287447130053799,1.0076657387014951,,,,,
2021-03-11,185.3000030517578,188.0,184.97999572753906,186.22999572753906,186.22999572753906,388500,IT,0.01195455612038887,1.0197119353253952,,,,,
2021-03-12,186.11000061035156,186.94000244140625,185.47000122070312,186.82000732421875,186.82000732421875,417600,IT,0.0031681877797113955,1.022942574217719,,,,,
2021-03-15,185.75999450683594,186.63999938964844,185.0,185.72000122070312,185.72000122070312,418700,IT,-0.005888052994273862,1.016919434130626,,,,,
2021-03-16,185.72999572753906,187.72000122070312,184.42999267578125,187.41000366210938,187.41000366210938,395200,IT,0.009099733094433349,1.026173129559757,,,,,
2021-03-17,187.35000610351562,187.63999938964844,182.75999450683594,184.5,184.5,510800,IT,-0.015527472414738175,1.0102392545977723,,,,,
2021-03-18,183.44000244140625,186.4199981689453,182.61000061035156,183.10000610351562,183.10000610351562,631800,IT,-0.007588042799373307,1.0025735158962774,,,,,
2021-03-19,182.52999877929688,184.22999572753906,181.72000122070312,182.85000610351562,182.85000610351562,772500,IT,-0.001365374066992997,1.0012046280174187,,,,,
